,date,clientId,deviceCategory,browser,browserVersion,sessions,transactions,transactionRevenue
1,2020-01-01,1014944480.1577883025,desktop,Safari,13.0.4,1,0,0
2,2020-01-01,1096956557.1577823807,mobile,Safari,12.1.2,1,0,0
3,2020-01-01,1151347806.1577841475,desktop,Chrome,79.0.3945.79,1,0,0
4,2020-01-01,1213547675.1577848003,mobile,Chrome,67.0.3396.87,1,0,0
5,2020-01-01,1331288499.1577897490,tablet,Safari,9.0,2,0,0
6,2020-01-01,1359401960.1577867871,tablet,Safari,604.1,1,0,0
7,2020-01-01,1443702087.1577866562,mobile,Chrome,79.0.3945.93,1,0,0
8,2020-01-01,144987259.1577871471,mobile,Chrome,79.0.3945.93,1,0,0
9,2020-01-01,1550090080.1577849459,mobile,Safari,12.0,1,0,0
10,2020-01-01,1579814159.1577903851,desktop,Chrome,79.0.3945.88,1,0,0
11,2020-01-01,1587767190.1577887884,desktop,Chrome,80.0.3987.16,1,0,0
12,2020-01-01,1680789190.1577434385,desktop,Safari,13.0.4,1,0,0
13,2020-01-01,1754781110.1577868983,mobile,Safari,13.0.4,1,0,0
14,2020-01-01,1801461284.1577907880,desktop,Chrome,79.0.3945.88,1,0,0
15,2020-01-01,1820330562.1577916461,mobile,Chrome,79.0.3945.93,1,0,0
16,2020-01-01,1848971362.1577906671,mobile,Safari,12.1.1,1,0,0
17,2020-01-01,1870827771.1577907022,mobile,Chrome,79.0.3945.93,1,0,0
18,2020-01-01,2080460088.1577911039,mobile,Chrome,79.0.3945.93,1,0,0
19,2020-01-01,2085769889.1577863400,mobile,Safari,13.0.4,1,0,0
20,2020-01-01,261776122.1577851621,desktop,Chrome,79.0.3945.88,1,0,0
21,2020-01-01,311827799.1577872066,mobile,Samsung Internet,10.2,1,0,0
22,2020-01-01,372544386.1577887891,mobile,Chrome,79.0.3945.73,1,0,0
23,2020-01-01,437546352.1577879274,mobile,Safari,13.0.4,1,0,0
24,2020-01-01,442312432.1577865187,mobile,Safari,13.0.4,1,0,0
25,2020-01-01,44336902.1577892910,mobile,Safari,604.1,1,0,0
26,2020-01-01,454948982.1577872723,desktop,Firefox,71.0,1,0,0
27,2020-01-01,507845100.1577848411,desktop,Safari,12.1.2,1,0,0
28,2020-01-01,523525010.1577909811,desktop,Safari,13.0.4,1,0,0
29,2020-01-01,613052355.1577891462,desktop,Edge,18.17763,1,0,0
30,2020-01-01,638143608.1577843906,mobile,Chrome,79.0.3945.93,1,0,0
31,2020-01-01,647821701.1577892730,desktop,Safari,13.0.4,1,0,0
32,2020-01-01,750950237.1577917004,desktop,Chrome,79.0.3945.88,1,0,0
33,2020-01-01,768445008.1577896825,mobile,Chrome,79.0.3945.93,2,0,0
34,2020-01-01,786797037.1577906312,mobile,Chrome,79.0.3945.93,1,0,0
35,2020-01-01,797135313.1577915025,mobile,Chrome,79.0.3945.93,1,0,0
36,2020-01-01,815766765.1577868890,mobile,Chrome,79.0.3945.93,1,0,0
37,2020-01-01,883740089.1577922748,mobile,Chrome,79.0.3945.93,1,0,0
